[COT 2024-02-07 16:24:34] 76561198036774377: Set rain to 0 0 0
[COT 2024-02-07 16:24:34] 76561198036774377: Set storm to 0 0.8 4000
[COT 2024-02-07 16:24:34] 76561198036774377: Set fog to 0.395138 0 0
[COT 2024-02-07 16:24:34] 76561198036774377: Set overcast to 0.485823 0 0
[COT 2024-02-07 16:24:34] 76561198036774377: Set the date to 2012/1/1 8:38
[COT 2024-02-07 16:24:34] 76561198036774377: Set wind to 4.47852 4.47852 1
[COT 2024-02-07 16:24:41] 76561198036774377: Healed [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2024-02-07 16:24:42] 76561198036774377: Set Invisibility To 1 [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2024-02-07 16:24:43] 76561198036774377: Set GodMode To true [guid=mBNlxASsPlOcry0dpDl8K-WgHNR5WMCMmoJ9NhpU4FY=]
[COT 2024-02-07 16:25:04] 76561198036774377: Teleported to position <4528.204590, 332.675537, 6930.473145>
[COT 2024-02-07 16:27:30] 76561198036774377: ESP: ESP updating
[COT 2024-02-07 16:29:59] 76561198036774377: Spawned Entity Land Rover Defender (Expansion_Landrover<1055a860>, 100, 3000, 0) at <4458.158691, 326.779480, 6979.137207>
[COT 2024-02-07 16:41:06] 76561198036774377: Spawned Entity NBC Pants (NBCPantsBase<942ac240>, 100, 80, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:08] 76561198036774377: Spawned Entity NBC Boots (NBCBootsGray<942a5a30>, 100, 80, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:09] 76561198036774377: Spawned Entity NBC Boots (NBCBootsBase<942afc10>, 100, 80, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:11] 76561198036774377: Spawned Entity NBC Jacket (NBCJacketGray<942acdd0>, 100, 80, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:12] 76561198036774377: Spawned Entity NBC Jacket (NBCJacketBase<942b6fb0>, 100, 80, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:19] 76561198036774377: Spawned Entity Combat Gas Mask (GasMask<942b4170>, 225, 120, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:20] 76561198036774377: Spawned Entity Combat Gas Mask (GasMask<942bd7c0>, 225, 120, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:21] 76561198036774377: Spawned Entity Gas Mask Filter (GasMask_Filter<942c0600>, 150, 80, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:22] 76561198036774377: Spawned Entity Gas Mask Filter (GasMask_Filter<942bc0a0>, 150, 80, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:29] 76561198036774377: Spawned Entity Punched Card (PunchedCard<92164a90>, 150, 15, 0) at <4457.936035, 326.866180, 6976.836426>
[COT 2024-02-07 16:41:30] 76561198036774377: Spawned Entity Punched Card (PunchedCard<9216be30>, 150, 15, 0) at <4457.936035, 326.866180, 6976.836426>
